Time,Wnd
0.229655,8009
0.344963,9033
0.355703,9820
0.361467,9968
0.363062,10115
0.364346,10200
0.365007,10254
0.365487,10307
0.365881,10345
0.366189,10382
0.366464,10412
0.366739,10441
0.367001,10467
0.367261,10492
0.372419,11518
0.379747,12043
0.431942,12318
0.435468,12672
0.438256,12791
0.43925,12861
0.44737,14332
0.459453,15085
0.46484,15204
0.465702,15244
0.471331,16280
0.48465,17536
0.489484,17593
0.489713,17616
0.495107,18640
0.50197,19425
0.504791,19573
0.50587,19720
0.506616,19805
0.507055,19859
0.5074,19912
0.507702,19950
0.508009,19987
0.508285,20017
0.50856,20046
0.508822,20072
0.509081,20097
0.514013,21123
0.519199,21648
0.521979,21923
0.523433,22071
0.524486,22218
0.525231,22303
0.525645,22357
0.526016,22410
0.526318,22448
0.526625,22485
0.526901,22515
0.527176,22544
0.527438,22570
0.527697,22595
0.532655,23621
0.539202,24408
0.543288,24843
0.54415,24881
0.544457,24918
0.544732,24948
0.545008,24977
0.54527,25003
0.545529,25028
0.553326,26054
0.558059,26829
0.559309,26977
0.560086,27124
0.560777,27250
0.5611,27303
0.561402,27341
0.56171,27378
0.561985,27408
0.56226,27437
0.562522,27463
0.562782,27488
0.567713,28514
0.573356,29568
0.574647,29692
0.574963,29743
0.575257,29779
0.575556,29814
0.575823,29842
0.576091,29869
0.576345,29893
0.576596,29916
0.581519,30940
0.584432,31463
0.586151,31738
0.587758,32020
0.58832,32105
0.588862,32199
0.589137,32237
0.589444,32274
0.589719,32304
0.589995,32333
0.590257,32359
0.590516,32384
0.595474,33410
0.600414,34332
0.602112,34551
0.602467,34605
0.602838,34658
0.603252,34720
0.603511,34750
0.603786,34779
0.604048,34805
0.604308,34830
0.609239,35856
0.616262,37147
0.622642,38198
0.628175,39120
0.636291,40592
0.640752,41467
0.641172,41686
0.641438,41740
0.641809,41793
0.642138,41831
0.642418,41868
0.642694,41898
0.642969,41927
0.643231,41953
0.64349,41978
0.648422,43004
0.653806,44270
0.653994,44313
0.654182,44349
0.65437,44384
0.654581,44416
0.654766,44447
0.659446,45479
0.662637,46276
0.662984,46430
0.663756,46583
0.664238,46674
0.664618,46734
0.665013,46793
0.665339,46837
0.66567,46880
0.665996,46916
0.666269,46951
0.666555,46983
0.666838,47014
0.671794,48046
0.676476,49118
0.677364,49427
0.682124,50457
0.684066,50986
0.686703,51542
0.686888,51631
0.687252,51689
0.68764,51746
0.687958,51788
0.688281,51829
0.688572,51863
0.688864,51896
0.689142,51926
0.689417,51955
0.694364,52985
0.697574,53780
0.699665,54313
0.699853,54363
0.700041,54392
0.704912,55422
0.706854,55951
0.708612,56369
0.709198,56520
0.709673,56609
0.710044,56667
0.710432,56724
0.710776,56766
0.711073,56807
0.711364,56841
0.711656,56874
0.711934,56904
0.712209,56933
0.717156,57963
0.721196,58897
0.722344,59242
0.722736,59341
0.727738,60387
0.730884,61182
0.731223,61334
0.731986,61485
0.732874,61618
0.733212,61675
0.73353,61717
0.733853,61758
0.734144,61792
0.734436,61825
0.73474,61855
0.734989,61884
0.739936,62914
0.741878,63443
0.742988,63722
0.744315,64012
0.744697,64101
0.745068,64159
0.745456,64216
0.745774,64258
0.746097,64299
0.746415,64333
0.74668,64366
0.746958,64396
0.747233,64425
0.75218,65455
0.757692,66749
0.75788,66783
0.758068,66816
0.758256,66846
0.758444,66875
0.76294,67905
0.790538,68184
0.886734,69370
0.886734,69341
0.903236,69225
0.905182,69195
0.906295,69166
0.910592,69068
0.914554,66743
0.914554,67574
0.914842,67545
0.914842,67593
0.91513,66120
0.91513,66153
0.915418,66183
0.915706,66212
0.920186,67242
0.923586,68037
0.923956,68189
0.929915,68064
0.929915,68859
0.930258,68830
0.931324,67800
0.931324,68015
0.931628,68073
0.932007,68130
0.937921,68097
0.937921,69127
0.941108,69097
0.942096,69068
0.948126,68681
0.948462,67651
0.948462,67708
0.948798,67737
0.952906,68767
0.96551,68238
0.965904,67957
0.965904,68046
0.970864,67781
0.970864,68811
0.972783,68781
0.978736,67836
0.978736,69102
0.97912,68072
0.97912,68140
1.00953,67001
1.00953,67530
1.01007,66471
1.01007,66623
1.01085,66776
1.01176,66497
1.01176,66539
1.0163,66268
1.0163,67298
1.01825,67268
1.01825,67797
1.01936,67768
1.01936,68047
1.02102,68401
1.02931,68338
1.03262,68309
1.1286,68350
1.1291,68384
1.1296,68417
1.13009,68447
1.13061,68476
1.1311,68518
1.13582,69991
1.20573,71464
1.24169,72124
1.24169,71815
1.24352,71784
1.25885,71755
1.26516,71712
1.27536,71683
1.27588,70653
1.2811,70561
1.2811,71811
1.28161,70781
1.30012,72254
1.30796,72067
1.30847,72004
1.3248,70531
1.3248,70591
1.32532,70650
1.32583,70694
1.32634,70737
1.32685,70773
1.32736,70808
1.33125,71840
1.33598,71777
1.36326,71582
1.36382,71553
1.37068,70246
1.37068,71721
1.37408,71658
1.38923,70909
1.38923,72384
1.3927,72325
1.41131,72262
1.41455,72233
1.42344,72162
1.42398,72133
1.42857,71983
1.4317,71953
1.4332,71924
1.44346,71626
1.45286,70153
1.45286,70940
1.45337,70999
1.47179,70849
1.47179,72322
1.47397,72292
1.47853,71895
1.48295,71863
1.48397,71832
1.48551,71740
1.48602,70710
1.48602,70830
1.48653,69896
1.48653,69953
1.48707,69995
1.48758,70036
1.48809,70090
1.4886,70120
1.48911,70149
1.48962,70427
1.49014,69397
1.49014,69517
1.49065,68722
1.49065,68779
1.49695,68599
1.49695,70072
1.5,70043
1.5,70845
1.50053,70922
1.50104,70955
1.50207,71464
1.51793,72162
1.51793,72048
1.52187,71985
1.53221,71956
1.53474,71372
1.54005,70340
1.54005,71618
1.57655,71585
1.57974,71555
1.58775,70984
1.59132,70879
1.59132,71745
1.60515,70259
1.60515,70335
1.60798,71166
1.61444,71084
