Time,Wnd
0.0600179,4380
0.0900285,5840
0.120014,7300
0.120036,8760
0.140024,10220
0.180029,11680
0.180051,13140
0.180056,14600
0.200037,16060
0.210037,17520
0.240044,18980
0.240053,20440
0.240065,21900
0.240071,23360
0.250061,24820
0.260051,26280
0.270052,27740
0.270056,29200
0.270065,30660
0.270073,32120
0.270082,33580
0.290058,35040
0.290063,36500
0.300076,37960
0.300085,39420
0.300094,40880
0.300098,42340
0.310079,43800
0.320072,45260
0.330073,46720
0.33008,48180
0.330084,49640
0.330088,51100
0.330093,52560
0.330097,54020
0.330106,55480
0.33012,56940
0.340087,58400
0.35008,59860
0.360073,61320
0.360088,62780
0.360103,64240
0.360124,65700
0.360129,67160
0.360138,68620
0.360143,70080
0.360145,71540
0.360152,73000
0.370094,74460
0.380082,75920
0.380093,77380
0.39008,78840
0.39009,80300
0.390094,81760
0.390098,83220
0.390107,84680
0.390115,86140
0.39012,87600
0.390124,89060
0.390129,90520
0.390133,91980
0.390137,93440
0.390146,94900
0.390151,96360
0.390165,97820
0.390179,99280
0.400102,100740
0.41008,102200
0.410097,103660
0.410102,105120
0.410106,106580
0.420095,108040
0.4201,109500
0.420113,110960
0.420122,112420
0.420132,113880
0.420146,115340
0.42015,116800
0.420159,118260
0.420173,119720
0.420182,121180
0.420187,122640
0.420191,124100
0.4202,125560
0.420205,127020
0.420209,128480
0.420222,129940
0.420225,131400
0.43011,132860
0.430119,134320
0.440088,135780
0.440092,137240
0.440112,138700
0.450095,140160
0.450102,141620
0.450106,143080
0.450111,144540
0.45012,146000
0.450124,147460
0.450127,148920
0.450133,150380
0.450138,151840
0.450147,153300
0.450151,154760
0.450155,156220
0.45016,157680
0.450164,159140
0.450173,160600
0.450186,162060
0.450196,163520
0.4502,164980
0.450204,166440
0.450208,167900
0.450213,169360
0.450226,170820
0.450239,172280
0.450244,173740
0.450253,175200
0.450263,176660
0.450267,178120
0.450282,179580
0.450286,181040
0.460124,182500
0.460128,183960
0.470095,185420
0.470109,186880
0.470119,188340
0.470123,189800
0.470132,191260
0.470136,192720
0.480103,194180
0.48011,195640
0.480124,197100
0.480133,198560
0.480138,200020
0.480156,201480
0.48016,202940
0.480165,204400
0.480178,205860
0.480193,207320
0.480197,208780
0.480218,210240
0.48022,211700
0.480225,213160
0.480229,214620
0.480243,216080
0.480247,217540
0.480275,219000
0.480284,220460
0.480288,221920
0.480292,223380
0.480301,224840
0.480306,226300
0.480315,227760
0.480326,229220
0.480333,230680
0.480337,232140
0.480346,233600
0.480351,235060
0.480355,236520
0.480359,237980
0.480363,239440
0.480368,240900
0.490132,242360
0.490148,243820
0.500103,245280
0.500107,246740
0.500116,248200
0.500125,249660
0.500129,251120
0.500138,252580
0.500147,254040
0.500156,255500
0.51011,256960
0.51012,258420
0.510136,259880
0.510146,261340
0.510155,262800
0.510163,264260
0.510174,265720
0.510181,267180
0.51019,268640
0.510199,270100
0.510212,271560
0.510216,273020
0.510221,274480
0.510229,275940
0.510234,277400
0.510238,278860
0.510243,280320
0.510247,281780
0.510251,283240
0.51027,284700
0.510283,286160
0.510287,287620
0.510301,289080
0.510306,290540
0.51031,292000
0.510314,293460
0.510323,294920
0.510327,296380
0.510335,297840
0.51034,299300
0.51035,300760
0.510358,302220
0.510368,303680
0.510381,305140
0.51039,306600
0.510404,308060
0.510417,309520
0.510422,310980
0.510436,312440
0.510445,313900
0.510459,315360
0.510463,316820
0.520139,318280
0.520149,319740
0.520153,321200
0.520157,322660
0.530111,324120
0.530129,325580
0.530134,327040
0.530139,328500
0.530147,329960
0.530166,331420
0.53017,332880
0.530179,334340
0.530183,335800
0.530188,337260
0.540124,338720
0.540128,340180
0.540142,341640
0.540147,343100
0.540156,344560
0.54016,346020
0.540174,347480
0.540191,348940
0.540209,350400
0.540214,351860
0.540219,353320
0.540228,354780
0.540232,356240
0.540241,357700
0.540246,359160
0.54025,360620
0.540255,362080
0.540273,363540
0.54028,365000
0.540296,366460
0.540311,367920
0.540315,369380
0.540319,370840
0.540323,372300
0.54033,373760
0.540337,375220
0.540341,376680
0.540346,378140
0.540355,379600
0.540364,381060
0.540368,382520
0.540377,383980
0.540391,385440
0.540405,386900
0.540423,388360
0.540428,389820
0.540432,391280
0.540437,392740
0.540442,394200
0.54045,395660
0.540459,397120
0.540464,398580
0.540473,400040
0.540477,401500
0.540487,402960
0.540491,404420
0.540504,405880
0.540508,407340
0.540517,408800
0.540526,410260
0.54053,411720
0.540534,413180
0.540539,414640
0.540544,416100
0.540549,417560
0.540557,419020
0.540566,420480
0.54057,421940
0.540575,423400
0.540583,424860
0.550147,426320
0.550156,427780
0.55016,429240
0.550174,430700
0.560126,432160
0.560134,433620
0.560138,435080
0.560141,436540
0.560147,438000
0.56016,439460
0.560165,440920
0.560174,442380
0.560178,443840
0.560182,445300
0.560187,446760
0.560191,448220
0.560201,449680
0.560205,451140
0.560219,452600
0.570132,454060
0.570146,455520
0.57015,456980
0.570155,458440
0.570159,459900
0.570168,461360
0.570172,462820
0.570176,464280
0.570181,465740
0.570191,467200
0.570195,468660
0.570204,470120
0.570208,471580
0.570213,473040
0.570217,474500
0.570222,475960
0.570234,477420
0.570244,478880
0.570248,480340
0.570252,481800
0.570262,483260
0.570271,484720
