Column1,Column2
0.0120221,4380
0.0240364,5840
0.0240388,7300
0.0300444,8760
0.0360676,10220
0.0420564,11680
0.0420623,13140
0.0420705,14600
0.0540816,16060
0.0540875,17520
0.054095,18980
0.0541026,20440
0.0600773,21900
0.0600852,23360
0.0600996,24820
0.0601121,26280
0.0660848,27740
0.0661053,29200
0.0661131,30660
0.0661188,32120
0.0661253,33580
0.0661311,35040
0.0661431,36500
0.0661489,37960
0.0721022,39420
0.072108,40880
0.072116,42340
0.0721217,43800
0.0721281,45260
0.0721487,46720
0.0721674,48180
0.0721738,49640
0.0781004,51100
0.0781097,52560
0.0781153,54020
0.0781218,55480
0.0781299,56940
0.078161,58400
0.0781672,59860
0.0781747,61320
0.0781865,62780
0.0781926,64240
0.0782,65700
0.0782187,67160
0.0782246,68620
0.0841084,70080
0.08412,71540
0.084141,73000
0.0841589,74460
0.0841652,75920
0.0841727,77380
0.0841783,78840
0.0841864,80300
0.084192,81760
0.0841985,83220
0.0842192,84680
0.0842255,86140
0.084244,87600
0.084258,89060
0.0842659,90520
0.0901164,91980
0.0901308,93440
0.0901432,94900
0.0901492,96360
0.0901566,97820
0.0901688,99280
0.0901824,100740
0.090189,102200
0.0902014,103660
0.0902223,105120
0.0902412,106580
0.0902544,108040
0.0902602,109500
0.0902661,110960
0.0902725,112420
0.0902851,113880
0.0902911,115340
0.0902988,116800
0.0903248,118260
0.0903373,119720
0.0903492,121180
0.0961244,122640
0.0961437,124100
0.0961502,125560
0.0961564,127020
0.0961895,128480
0.0961954,129940
0.0962033,131400
0.0962092,132860
0.0962221,134320
0.0962413,135780
0.0962479,137240
0.0962537,138700
0.0962612,140160
0.0962734,141620
0.0962814,143080
0.0962872,144540
0.0962995,146000
0.0963138,147460
0.0963347,148920
0.0963468,150380
0.0963527,151840
0.0963714,153300
0.0963974,154760
0.0964016,156220
0.0964114,157680
0.0964178,159140
0.0964235,160600
0.0964357,162060
0.102143,163520
0.102151,164980
0.102163,166440
0.102176,167900
0.102199,169360
0.102201,170820
0.102207,172280
0.102215,173740
0.102221,175200
0.102235,176660
0.102254,178120
0.10226,179580
0.102272,181040
0.10228,182500
0.102292,183960
0.102298,185420
0.102306,186880
0.102313,188340
0.102325,189800
0.102332,191260
0.102364,192720
