Time,Throughput
0.100007,75744
0.200094,181996
0.300291,194620
0.404639,184100
0.50479,205140
0.604857,240908
0.705008,292456
0.805159,362940
0.90531,447100
1.00534,550196
1.10536,672228
1.2054,785844
1.3054,913136
1.40541,1052000
1.50541,1171928
1.60541,1300272
1.70542,1437032
1.80542,1581156
1.90542,1694772
2.00543,1822064
2.10543,1975656
2.20543,2101896
2.30551,2148184
2.40553,2169224
2.50558,2204992
2.60558,2247072
2.70559,2300724
2.80559,2352272
2.90559,2411184
3.0056,2478512
3.1056,2535320
3.2056,2614220
3.30561,2679444
3.40561,2749928
3.50562,2825672
3.60562,2987680
3.70562,3136012
3.80563,3298020
3.90563,3436884
4.00563,3582060
4.10564,3735652
4.20564,3862944
4.30564,4024952
4.40565,4157504
4.50565,4293212
4.60565,4433128
4.70573,4676140
4.80577,4986480
4.90581,5268416
5.00582,5547196
5.10582,5837548
5.20582,6083716
5.30583,6338300
5.40583,6600248
5.50583,6816960
5.60584,7077856
5.70584,7289308
5.80584,7506020
5.90585,7726940
6.00588,7762708
6.10592,7789008
6.20592,7822672
6.30592,7866856
6.40593,7911040
6.50593,7962588
6.60594,8021500
6.70594,8088828
6.80594,8145636
6.90595,8203496
7.00595,8272928
7.10595,8354984
7.20596,8371816
7.30596,8383388
7.40596,8402324
7.50597,8422312
7.60597,8453872
7.70597,8480172
7.80598,8512784
7.90598,8563280
8.00598,8580112
8.10599,8580112
8.20599,8580112
8.306,8580112
8.406,8580112
8.506,8580112
8.60601,8580112
8.70601,8580112
8.80605,8580112
8.90609,8580112
9.0061,8581164
9.1061,8591684
9.2061,8610620
9.30611,8633764
9.40611,8662168
9.50611,8697936
9.60612,8736860
9.70612,8781044
9.80612,8822072
9.90613,8868360
