Time,Cwnd
4.80089,158494
4.80102,158514
4.80114,158533
4.80127,158552
4.80139,158571
4.80151,158590
4.80164,158610
4.80176,158629
4.80188,158648
4.80201,158667
4.80213,158686
4.80226,158706
4.80238,158725
4.80251,158744
4.80263,158763
4.80275,158782
4.80288,158802
4.803,158821
4.80312,158840
4.80325,158859
4.80337,158878
4.8035,158898
4.80363,158917
4.80375,158936
4.80387,158955
4.80399,158974
4.80412,158994
4.80424,159013
4.80436,159032
4.80449,159051
4.80462,159070
4.80474,159090
4.80487,159109
4.80499,159128
4.80511,159147
4.80524,159166
4.80536,159186
4.80548,159205
4.80561,159224
4.80573,159243
4.80586,159262
4.80598,159282
4.8061,159301
4.80623,159320
4.80635,159339
4.80648,159358
4.8066,159378
4.80672,159397
4.80685,159416
4.80697,159435
4.8071,159454
4.80722,159474
4.80734,159493
4.80747,159512
4.80759,159531
4.80772,159550
4.80784,159570
4.80797,159589
4.80809,159608
4.80822,159627
4.80834,159646
4.80846,159666
4.80858,159685
4.80871,159704
4.80884,159723
4.80896,159742
4.80909,159762
4.80921,159781
4.80933,159800
4.80946,159819
4.80958,159838
4.8097,159858
4.80983,159877
4.80995,159896
4.81007,159915
4.8102,159934
4.81033,159954
4.81045,159973
4.81057,159992
4.8107,160011
4.81082,160030
4.81094,160050
4.81107,160069
4.81119,160088
4.81131,160107
4.81144,160126
4.81157,160146
4.81169,160165
4.81182,160184
4.81194,160203
4.81206,160222
4.81218,160242
4.81231,160261
4.81243,160280
4.81256,160299
4.81268,160318
4.81281,160338
4.81293,160357
4.81306,160376
4.81318,160395
4.8133,160414
4.81343,160434
4.81355,160453
4.81367,160472
4.8138,160491
4.81392,160510
4.81405,160530
4.81417,160549
4.81429,160568
4.81442,160587
4.81454,160606
4.81467,160626
4.81479,160645
4.81492,160664
4.81504,160683
4.81516,160702
4.81529,160722
4.81541,160741
4.81553,160760
4.81566,160779
4.81578,160798
4.81591,160818
4.81604,160837
4.81616,160856
4.81628,160875
4.8164,160894
4.81653,160914
4.81665,160933
4.81677,160952
4.8169,160971
4.81702,160990
4.81715,161010
4.81728,161029
4.8174,161048
4.81752,161067
4.81765,161086
4.81777,161106
4.81789,161125
4.81802,161144
4.81814,161163
4.81826,161182
4.81839,161202
4.81852,161221
4.81864,161240
4.81876,161259
4.81889,161278
4.81901,161298
4.81913,161317
4.81926,161336
4.81938,161355
4.81951,161374
4.81963,161394
4.81975,161413
4.81988,161432
4.82,161451
4.82013,161470
4.82025,161490
4.82037,161509
4.8205,161528
4.82063,161547
4.82075,161566
4.82087,161586
4.82099,161605
4.82112,161624
4.82125,161643
4.82137,161662
4.82149,161682
4.82162,161701
4.82174,161720
4.82187,161739
4.82199,161757
4.82211,161775
4.82224,161793
4.82236,161811
4.82249,161829
4.82261,161847
4.82273,161865
4.82286,161883
4.82298,161901
4.82311,161919
4.82323,161937
4.82335,161955
4.82348,161973
4.8236,161991
4.82372,162009
4.82385,162027
4.82398,162045
4.8241,162063
4.82423,162081
4.82435,162099
4.82447,162117
4.82459,162135
4.82472,162153
4.82484,162171
4.82496,162189
4.82509,162207
4.82521,162225
4.82534,162243
4.82547,162261
4.82559,162279
4.82571,162297
4.82584,162315
4.82596,162333
4.82608,162351
4.82621,162369
4.82633,162387
4.82646,162405
4.82658,162423
4.82671,162441
4.82683,162459
4.82695,162477
4.82708,162495
4.8272,162513
4.82732,162531
4.82745,162549
4.82757,162567
4.8277,162585
4.82782,162603
4.82794,162621
4.82807,162639
4.82819,162657
4.82832,162675
4.82844,162693
4.82856,162711
4.82869,162729
4.82882,162747
4.82894,162765
4.82906,162783
4.82918,162801
4.82931,162819
4.82944,162837
4.82956,162855
4.82968,162873
4.82981,162891
4.82993,162909
4.83006,162927
4.83018,162945
4.8303,162963
4.83043,162981
4.83055,162999
4.83067,163017
4.8308,163035
4.83093,163053
4.83105,163071
4.83117,163089
4.8313,163107
4.83142,163125
4.83154,163143
4.83167,163161
4.83179,163179
4.83191,163197
4.83204,163215
4.83217,163233
4.83229,163251
4.83241,163269
4.83254,163287
4.83266,163305
4.83278,163323
4.83291,163341
4.83303,163359
4.83315,163377
4.83328,163395
4.83341,163413
4.83353,163431
4.83366,163449
4.83378,163467
4.8339,163485
4.83403,163503
4.83415,163521
4.83427,163539
4.8344,163557
4.83452,163575
4.83465,163593
4.83477,163611
4.8349,163629
4.83502,163647
4.83514,163665
4.83527,163683
4.83539,163701
4.83552,163719
4.83564,163737
4.83576,163755
4.83589,163773
4.83601,163791
4.83614,163809
4.83626,163827
4.83638,163845
4.83651,163863
4.83663,163881
4.83676,163899
4.83688,163917
4.83701,163935
4.83713,163953
4.83725,163971
4.83737,163989
4.8375,164007
4.83763,164025
4.83775,164043
4.83788,164061
4.838,164079
4.83812,164097
4.83825,164115
4.83837,164133
4.83849,164151
4.83862,164169
4.83874,164187
4.83886,164205
4.83899,164223
4.83912,164241
4.83924,164259
4.83936,164277
4.83949,164295
4.83961,164313
4.83973,164331
4.83986,164349
4.83998,164367
4.8401,164385
4.84023,164403
4.84036,164421
4.84048,164439
4.8406,164457
4.84073,164475
4.84085,164493
4.84097,164511
4.8411,164529
4.84122,164547
4.84135,164565
4.84147,164583
4.84159,164601
4.84172,164619
4.84185,164637
4.84197,164655
4.84209,164673
4.84222,164691
4.84234,164709
4.84247,164727
4.84259,164745
4.84271,164763
4.84284,164781
4.84296,164799
4.84309,164817
4.84321,164835
4.84333,164853
4.84346,164871
4.84358,164889
4.84371,164907
4.84383,164925
4.84395,164943
4.84408,164961
4.8442,164979
4.84433,164997
4.84445,165015
4.84457,165033
4.8447,165051
4.84483,165069
4.84495,165087
4.84507,165105
4.84519,165123
4.84532,165141
4.84544,165159
4.84556,165177
4.84569,165195
4.84582,165213
4.84594,165231
4.84607,165249
4.84619,165267
4.84631,165285
4.84644,165303
4.84656,165321
4.84668,165339
4.84681,165357
4.84693,165375
4.84706,165393
4.84718,165411
4.84731,165429
4.84743,165447
4.84755,165465
4.84768,165483
4.8478,165501
4.84792,165519
4.84805,165537
4.84817,165555
4.8483,165573
4.84842,165591
4.84855,165609
4.84867,165627
4.84879,165645
4.84892,165663
4.84904,165681
4.84916,165699
4.84929,165717
4.84941,165735
4.84954,165753
4.84966,165771
4.84978,165789
4.84991,165807
4.85004,165825
4.85016,165843
4.85028,165861
4.8504,165879
4.85053,165897
4.85066,165915
4.85078,165933
4.8509,165951
4.85103,165969
4.85115,165987
4.85128,166005
4.8514,166023
4.85152,166041
4.85165,166059
4.85177,166077
4.8519,166095
4.85202,166113
4.85214,166131
4.85227,166149
4.85239,166167
4.85251,166185
4.85264,166203
4.85276,166221
4.85289,166239
4.85301,166257
4.85314,166275
4.85326,166293
4.85338,166311
4.85351,166329
4.85363,166347
4.85375,166365
4.85388,166383
4.85401,166401
4.85413,166419
4.85426,166437
4.85438,166455
4.8545,166473
4.85463,166491
4.85475,166509
4.85487,166527
4.855,166545
4.85512,166563
4.85525,166581
4.85537,166599
4.8555,166617
4.85562,166635
4.85574,166653
4.85587,166671
4.85599,166689
4.85611,166707
4.85624,166725
4.85636,166743
4.85649,166761
4.85661,166779
4.85674,166797
4.85686,166815
4.85698,166833
4.85711,166851
4.85723,166869
4.85736,166887
4.85748,166905
4.8576,166923
4.85773,166941
4.85785,166959
4.85798,166977
4.8581,166995
4.85823,167013
4.85835,167031
4.85848,167049
4.8586,167067
4.85872,167085
4.85885,167103
4.85897,167121
4.85909,167139
4.85922,167157
4.85934,167175
4.85947,167193
4.85959,167211
4.85972,167229
4.85984,167247
4.85996,167265
4.86009,167283
4.86021,167301
4.86033,167319
4.86046,167337
4.86058,167355
4.8607,167373
4.86083,167391
4.86096,167409
4.86108,167427
4.8612,167445
4.86133,167463
4.86145,167481
4.86157,167499
4.8617,167517
4.86182,167535
4.86194,167553
4.86207,167571
4.8622,167589
4.86232,167607
4.86245,167625
4.86257,167643
4.86269,167661
4.86282,167679
4.86294,167697
4.86306,167715
4.86319,167733
4.86331,167751
4.86344,167769
4.86356,167787
4.86369,167805
4.86381,167823
4.86393,167841
4.86406,167859
4.86418,167877
4.86431,167895
4.86443,167913
4.86455,167931
4.86468,167949
4.8648,167967
4.86493,167985
4.86505,168003
4.86517,168021
4.8653,168039
4.86542,168057
4.86555,168075
4.86567,168093
4.86579,168111
4.86592,168129
4.86604,168147
4.86616,168165
4.86629,168183
4.86642,168201
4.86654,168219
4.86667,168237
4.86679,168255
4.86691,168273
4.86704,168291
4.86716,168309
4.86728,168327
4.86741,168345
4.86753,168363
4.86766,168381
4.86778,168399
4.86791,168417
4.86803,168435
4.86815,168453
4.86828,168471
4.8684,168489
4.86852,168507
4.86865,168525
4.86877,168543
4.8689,168561
4.86902,168579
4.86915,168597
4.86927,168615
4.86939,168633
4.86952,168651
4.86964,168669
4.86976,168687
4.86989,168705
4.87002,168723
4.87014,168741
4.87027,168759
4.87039,168777
4.87051,168795
4.87064,168813
4.87076,168831
4.87088,168849
4.87101,168867
4.87113,168885
4.87126,168903
4.87138,168921
4.8715,168939
4.87163,168957
4.87175,168975
4.87188,168993
4.872,169011
4.87212,169029
4.87225,169047
4.87237,169065
4.8725,169083
4.87262,169101
4.87274,169119
4.87287,169137
4.87299,169155
4.87312,169173
4.87324,169191
4.87336,169209
4.87349,169227
4.87361,169245
4.87374,169263
4.87386,169281
4.87398,169299
4.87411,169317
4.87423,169335
4.87435,169353
4.87448,169371
4.8746,169389
4.87473,169407
4.87486,169425
4.87498,169443
4.8751,169461
4.87523,169479
4.87535,169497
4.87547,169515
4.87559,169533
4.87572,169551
4.87585,169569
4.87597,169587
4.8761,169605
4.87622,169623
4.87634,169641
4.87647,169659
4.87659,169677
4.87671,169695
4.87684,169713
4.87696,169731
4.87709,169749
4.87721,169767
4.87734,169785
4.87746,169803
4.87758,169821
4.87771,169839
4.87783,169857
4.87795,169875
4.87808,169893
4.8782,169911
4.87833,169929
4.87846,169947
4.87858,169965
4.8787,169983
4.87883,170001
4.87895,170019
4.87907,170037
4.87919,170055
4.87932,170073
4.87945,170091
4.87957,170109
4.87969,170127
4.87982,170145
4.87994,170163
4.88007,170181
4.88019,170199
4.88031,170217
4.88044,170235
4.88056,170253
4.88069,170271
4.88081,170289
4.88093,170307
4.88106,170325
4.88118,170343
4.88131,170361
4.88143,170379
4.88156,170397
4.88168,170415
4.8818,170433
4.88193,170451
4.88205,170469
4.88217,170487
4.8823,170505
4.88242,170523
4.88255,170541
4.88268,170559
4.8828,170577
4.88292,170595
4.88305,170613
4.88317,170631
4.88329,170649
4.88342,170667
4.88354,170685
4.88366,170703
4.88378,170721
4.88392,170739
4.88404,170757
4.88416,170775
4.88429,170793
4.88441,170811
4.88453,170829
4.88466,170847
4.88478,170865
4.8849,170883
4.88503,170901
4.88515,170919
4.88528,170937
4.8854,170955
4.88553,170973
4.88565,170991
4.88577,171009
4.8859,171027
4.88602,171045
4.88614,171063
4.88627,171081
4.88639,171099
4.88652,171117
4.88664,171135
4.88677,171153
4.88689,171171
4.88701,171189
4.88714,171207
4.88726,171225
4.88738,171243
4.88751,171261
4.88764,171279
4.88776,171297
4.88788,171315
4.88801,171333
4.88813,171351
4.88826,171369
4.88838,171387
4.8885,171405
4.88863,171423
4.88875,171441
4.88888,171459
4.889,171477
4.88912,171495
4.88925,171513
4.88937,171531
4.8895,171549
4.88962,171567
4.88975,171585
