Time,Wnd
0.120916,4380
0.628291,5840
3.44078,7300
3.67453,8760
3.9178,10220
4.19323,11680
4.95596,13140
5.11403,14600
5.32104,16060
5.54054,17520
5.62427,18980
6.14617,20440
6.24993,21900
6.46316,23360
6.69205,24820
6.76486,26280
6.98211,27740
7.24204,29200
7.67548,30660
8.39936,32120
8.8806,33580
9.11469,35040
9.25406,36500
9.50635,37960
9.6351,39420
9.73276,40880
10.1496,42340
11.9445,43800
13.5186,45260
13.7118,46720
15.7165,48180
18.8776,49640
20.9329,51100
20.9958,52560
21.4112,54020
21.4896,55480
21.792,56940
21.9268,58400
22.2277,59860
22.3729,61320
22.537,62780
22.6528,64240
22.9814,65700
23.0535,67160
23.3702,68620
23.8932,70080
23.9913,71540
24.5763,73000
24.9354,74460
25.1262,75920
25.3483,77380
25.6763,78840
