Column1,Column2
0.00036005,1
0.00102303,2
0.00104308,3
0.00107498,4
0.00107647,5
0.00108348,6
0.00108644,7
0.0010884,8
0.00108988,9
0.00109133,10
0.00109255,11
0.00109375,12
0.00109484,13
0.00109591,14
0.00109693,15
0.00109794,16
0.00167954,17
0.00168034,18
0.00172977,19
0.00174276,20
0.00174572,21
0.00174866,22
0.00175061,23
0.00175207,24
0.00175351,25
0.00175471,26
0.00175589,27
0.00175697,28
0.00175802,29
0.00175903,30
0.00176002,31
0.00177703,32
0.00177783,33
0.00240402,34
0.00240452,35
0.00242855,36
0.00242905,37
0.00242985,38
0.00307878,39
0.00307927,40
0.00309658,41
0.00310257,42
0.00310404,43
0.0031055,44
0.00310671,45
0.00310791,46
0.003109,47
0.00311007,48
0.0031111,49
0.0031121,50
0.00312913,51
0.00313814,52
0.00314514,53
0.0031481,54
0.00315007,55
0.00315154,56
0.003153,57
0.00315422,58
0.00315542,59
0.0031565,60
0.00315758,61
0.0031586,62
0.00315961,63
0.00317663,64
0.00318564,65
0.00318644,66
0.00370294,67
0.00370692,68
0.00370839,69
0.00370985,70
0.00371106,71
0.00371227,72
0.00371335,73
0.00371442,74
0.00371545,75
0.00371646,76
0.00375319,77
0.0037622,78
0.00376721,79
0.00377019,80
0.00377314,81
0.00377511,82
0.00377658,83
0.00377828,84
0.00377948,85
0.00378057,86
0.00378164,87
0.00378267,88
0.00378367,89
0.0038007,90
0.0038015,91
0.00382985,92
0.00383095,93
0.00383194,94
0.00386244,95
0.00386292,96
0.00386372,97
0.00387812,98
0.0043842,99
0.00438473,100
0.00438556,101
0.00440003,102
0.00444947,103
0.00444998,104
0.00445081,105
0.00446527,106
0.0045042,107
0.00450471,108
0.00450671,109
0.00450755,110
0.00451836,111
0.00452007,112
0.00452129,113
0.00452239,114
0.00452348,115
0.00452452,116
0.00452555,117
0.00454259,118
0.00455161,119
0.00455663,120
0.00455963,121
0.0045626,122
0.00456459,123
0.00456607,124
0.00456795,125
0.00456927,126
0.00457036,127
0.0045714,128
0.00457243,129
0.00503815,130
0.00505119,131
0.0050542,132
0.00505719,133
0.00505919,134
0.0050607,135
0.00506219,136
0.00506343,137
0.00506467,138
0.00506579,139
0.00506689,140
0.00506795,141
0.00506899,142
0.00508604,143
0.0050994,144
0.00510449,145
0.00510705,146
0.0051086,147
0.00510991,148
0.00511121,149
0.00511239,150
0.00511356,151
0.00511468,152
0.00511579,153
0.00513304,154
0.00514214,155
0.00514724,156
0.00515031,157
0.00515337,158
0.00515543,159
0.005157,160
0.00515856,161
0.00515987,162
0.00516116,163
0.00516235,164
0.00516379,165
0.005181,166
0.00519411,167
0.00519718,168
0.00520024,169
0.0052023,170
0.00520387,171
0.00520542,172
0.00520673,173
0.00520803,174
0.00520921,175
0.00521038,176
0.0052115,177
0.0052126,178
0.00522972,179
0.00523055,180
0.00526124,181
0.00526244,182
0.00526353,183
0.00528063,184
0.00528147,185
0.00570646,186
0.00570729,187
0.00570812,188
0.00572526,189
0.00572609,190
0.00572692,191
0.00575507,192
0.00578265,193
0.00578316,194
0.00578502,195
0.00579531,196
0.00579859,197
0.00579979,198
0.00580062,199
0.00582465,200
0.00582516,201
0.00583865,202
0.00584017,203
0.00584144,204
0.00584257,205
0.0058434,206
0.00586846,207
0.00586897,208
0.00588243,209
0.00588395,210
0.00588521,211
0.00588632,212
0.00588715,213
0.0059356,214
0.00593611,215
0.00595051,216
0.00595182,217
0.00595291,218
0.00638105,219
0.00638158,220
0.00639241,221
0.00639324,222
0.00639627,223
0.00639757,224
0.00639885,225
0.00640001,226
0.00640117,227
0.00640227,228
0.00640336,229
0.00642942,230
0.00642993,231
0.00644197,232
0.00644424,233
0.00644552,234
0.00644668,235
0.00644784,236
0.00644894,237
0.00645003,238
0.00646715,239
0.00648025,240
0.00648332,241
0.00648638,242
0.00648844,243
0.00649001,244
0.00649157,245
0.00649288,246
0.00649417,247
0.00649536,248
0.00649652,249
0.00649764,250
0.00649875,251
0.00649958,252
0.00652361,253
0.00652413,254
0.00653616,255
0.00653843,256
0.00653971,257
0.00654088,258
0.00654203,259
0.00654313,260
0.00654422,261
0.00656132,262
0.00657041,263
0.0065755,264
0.00657856,265
0.00658262,266
0.00658417,267
0.00658571,268
0.006587,269
0.0065883,270
0.00658948,271
0.00659065,272
0.00659177,273
0.00659288,274
0.00661691,275
0.00661745,276
0.0066283,277
0.00663136,278
0.00663269,279
0.006634,280
0.0066352,281
0.00663638,282
0.00663752,283
0.00663864,284
0.00665577,285
0.00665662,286
0.00667609,287
0.00667788,288
0.00667918,289
0.00668036,290
0.00668153,291
0.00668265,292
0.00668376,293
0.00670088,294
0.00670998,295
0.00671508,296
0.00671816,297
0.00672121,298
0.00672329,299
0.00672536,300
0.00672668,301
0.006728,302
0.0067292,303
0.00673038,304
0.00673152,305
0.00673264,306
0.00705593,307
0.00705648,308
0.00706289,309
0.00706899,310
0.00707057,311
0.00707214,312
0.00707347,313
0.00707478,314
0.00707598,315
0.00707717,316
0.0070783,317
0.00707942,318
0.00709656,319
0.00710568,320
0.00710653,321
0.00712005,322
0.0071212,323
0.00713832,324
0.00714742,325
0.00715253,326
0.0071556,327
0.00715865,328
0.00716072,329
0.00716229,330
0.00716384,331
0.00716515,332
0.00716645,333
0.00716763,334
0.0071688,335
0.00716992,336
0.00717102,337
0.00717187,338
0.0071959,339
0.00719643,340
0.00721037,341
0.00721177,342
0.00721294,343
0.00721406,344
0.00721517,345
0.00721601,346
0.00721686,347
0.00724089,348
0.00724142,349
0.00725673,350
0.00728077,351
0.00728129,352
0.0072832,353
0.00728405,354
0.00729115,355
0.00729523,356
0.0072968,357
0.00729835,358
0.00729966,359
0.00730096,360
0.00730214,361
0.00730336,362
0.00730446,363
0.00730531,364
0.00732934,365
0.00732987,366
0.00734425,367
0.00734553,368
0.00734665,369
0.0073475,370
0.00737153,371
0.00737206,372
0.00738557,373
0.00738721,374
