Time,Data
0.755109,1000
0.755193,2000
0.755362,3000
0.755531,4000
0.755699,5000
0.755784,6000
0.755868,7000
0.755952,8000
0.756036,9000
0.756205,10000
0.77973,11000
0.779899,12000
0.780152,13000
0.780321,14000
0.780489,15000
0.780742,16000
0.780911,17000
0.78108,18000
0.781248,19000
0.781417,20000
0.781501,21000
0.78167,22000
0.781754,23000
0.781923,24000
0.805195,25000
0.805364,26000
0.805448,27000
0.805701,28000
0.80587,29000
0.806038,30000
0.806123,31000
0.806291,32000
0.80646,33000
0.806628,34000
0.806797,35000
0.806881,36000
0.80705,37000
0.807219,38000
0.807303,39000
0.807387,40000
0.807556,41000
0.807725,42000
0.807809,43000
0.807978,44000
0.808146,45000
0.831339,46000
0.831508,47000
0.831676,48000
0.83176,49000
0.831845,50000
0.832013,51000
0.832182,52000
0.832351,53000
0.832519,54000
0.832604,55000
0.832688,56000
0.832772,57000
0.832941,58000
0.83311,59000
0.833194,60000
0.833363,61000
0.833531,62000
0.833616,63000
0.8337,64000
0.833868,65000
0.834037,66000
0.834121,67000
0.834206,68000
0.83429,69000
0.834374,70000
0.834543,71000
0.834712,72000
0.834796,73000
0.834965,74000
0.835133,75000
0.835218,76000
0.835386,77000
0.835555,78000
0.859759,79000
0.859928,80000
0.860096,81000
0.860181,82000
0.860265,83000
0.860349,84000
0.860434,85000
0.860602,86000
0.860771,87000
0.860855,88000
0.861024,89000
0.861192,90000
0.861277,91000
0.861361,92000
0.861445,93000
0.86153,94000
0.861614,95000
0.861783,96000
0.861951,97000
0.862036,98000
0.86212,99000
0.862204,100000
0.862373,101000
0.862542,102000
0.862626,103000
0.86271,104000
0.862795,105000
0.862879,106000
0.863048,107000
0.863216,108000
0.8633,109000
0.863385,110000
0.863469,111000
0.863553,112000
0.863638,113000
0.863722,114000
0.863891,115000
0.864059,116000
0.864144,117000
0.864228,118000
0.864312,119000
0.864481,120000
0.86465,121000
0.864734,122000
0.864818,123000
0.864903,124000
0.865071,125000
0.86524,126000
0.889861,127000
0.89003,128000
0.890199,129000
0.890283,130000
0.890367,131000
0.890452,132000
0.890536,133000
0.89062,134000
0.890789,135000
0.890957,136000
0.891042,137000
0.891126,138000
0.89121,139000
0.891379,140000
0.891548,141000
0.891632,142000
0.891716,143000
0.891801,144000
0.891885,145000
0.891969,146000
0.892054,147000
0.892138,148000
0.892307,149000
0.892475,150000
0.89256,151000
0.892644,152000
0.892728,153000
0.892812,154000
0.892897,155000
0.893065,156000
0.893234,157000
0.893318,158000
0.893403,159000
0.893487,160000
0.893571,161000
0.893656,162000
0.89374,163000
0.893909,164000
0.894077,165000
0.894162,166000
0.894246,167000
0.89433,168000
0.894415,169000
0.894499,170000
0.894583,171000
0.894668,172000
0.894752,173000
0.89492,174000
0.895089,175000
0.895173,176000
0.895258,177000
0.895342,178000
0.895426,179000
0.895511,180000
0.895595,181000
0.895679,182000
0.895848,183000
0.896017,184000
0.896101,185000
0.896185,186000
0.89627,187000
0.896354,188000
0.896438,189000
0.896607,190000
0.896776,191000
0.89686,192000
0.897028,193000
0.897197,194000
0.897366,195000
0.897534,196000
0.897703,197000
0.897872,198000
0.922577,199000
0.922746,200000
0.922915,201000
0.923083,202000
0.923168,203000
0.923252,204000
0.923336,205000
0.923421,206000
0.923505,207000
0.923674,208000
0.923842,209000
0.923927,210000
0.924011,211000
0.924095,212000
0.92418,213000
0.924264,214000
0.924432,215000
1.95324,1538000
1.97921,1539000
2.20645,1540000
2.20662,1541000
2.23428,1542000
2.23445,1543000
2.23461,1544000
2.26219,1545000
2.26236,1546000
2.26252,1547000
2.29027,1548000
2.29043,1549000
2.2906,1550000
2.29069,1551000
2.29086,1552000
2.29102,1553000
2.31919,1554000
2.31936,1555000
2.31952,1556000
2.31961,1557000
2.31969,1558000
2.31978,1559000
2.31995,1560000
2.32012,1561000
2.32028,1562000
2.34878,1563000
2.34895,1564000
2.34912,1565000
2.34921,1566000
2.34929,1567000
2.34937,1568000
2.34946,1569000
2.34954,1570000
2.34971,1571000
2.34988,1572000
2.34996,1573000
2.35005,1574000
2.37838,1575000
2.37855,1576000
2.37872,1577000
2.3788,1578000
2.37889,1579000
2.37897,1580000
2.37905,1581000
2.37914,1582000
2.37922,1583000
2.37939,1584000
2.37956,1585000
2.37964,1586000
2.37973,1587000
2.37981,1588000
2.3799,1589000
2.38007,1590000
2.38024,1591000
2.3804,1592000
2.4089,1593000
2.40907,1594000
2.40924,1595000
2.40941,1596000
2.40949,1597000
2.40958,1598000
2.40966,1599000
2.40975,1600000
2.40983,1601000
2.40992,1602000
2.41008,1603000
2.41025,1604000
2.41034,1605000
2.41042,1606000
2.41051,1607000
2.41059,1608000
2.41067,1609000
2.41076,1610000
2.41093,1611000
2.4111,1612000
2.41118,1613000
2.41126,1614000
2.41143,1615000
2.4116,1616000
2.41169,1617000
2.41186,1618000
2.41202,1619000
2.44061,1620000
2.44078,1621000
2.44095,1622000
2.44103,1623000
2.4412,1624000
2.44137,1625000
2.44145,1626000
2.44154,1627000
2.44162,1628000
2.4417,1629000
2.44179,1630000
2.44187,1631000
2.44196,1632000
2.44204,1633000
2.44221,1634000
2.44238,1635000
2.44246,1636000
2.44255,1637000
2.44263,1638000
2.44272,1639000
2.4428,1640000
2.44288,1641000
2.44297,1642000
2.44305,1643000
2.44322,1644000
2.44339,1645000
2.44348,1646000
2.44356,1647000
2.44364,1648000
2.44373,1649000
2.4439,1650000
2.44407,1651000
2.44415,1652000
2.44423,1653000
2.44432,1654000
2.44449,1655000
2.44466,1656000
2.44474,1657000
2.44491,1658000
2.44508,1659000
2.44525,1660000
2.44541,1661000
2.47375,1662000
2.47391,1663000
2.47408,1664000
2.47417,1665000
2.47425,1666000
2.47434,1667000
2.4745,1668000
2.47459,1669000
2.47467,1670000
2.47476,1671000
2.47484,1672000
2.47493,1673000
2.47501,1674000
2.4751,1675000
2.47518,1676000
2.47526,1677000
2.47535,1678000
2.50368,1679000
2.50385,1690000
2.50393,1691000
2.50402,1698000
2.5041,1699000
2.50419,1700000
2.50427,1705000
2.50435,1706000
2.50444,1732000
2.50452,1733000
2.50461,1734000
2.50469,1735000
2.50478,1736000
2.52501,1737000
2.52518,1738000
2.52535,1739000
2.52543,1740000
2.52552,1741000
2.5256,1742000
2.52569,1743000
2.52577,1744000
2.52586,1745000
2.52594,1746000
2.52602,1747000
2.52611,1748000
2.52619,1749000
2.52628,1750000
2.52636,1751000
2.52645,1752000
2.5267,1753000
2.52687,1754000
2.52695,1755000
2.52704,1756000
2.5272,1757000
2.52729,1758000
2.52737,1759000
2.52746,1760000
2.52754,1761000
2.52763,1762000
2.52771,1763000
2.5278,1764000
2.52788,1765000
2.52796,1766000
2.52805,1767000
2.52813,1768000
2.54871,1769000
2.54888,1770000
2.54904,1771000
2.54913,1772000
2.54921,1773000
2.5493,1774000
2.54938,1775000
2.54947,1776000
2.54955,1777000
2.54963,1778000
2.54972,1779000
2.5498,1780000
2.54989,1781000
2.54997,1782000
2.55006,1783000
2.55014,1784000
2.55039,1785000
2.55048,1786000
2.55056,1787000
2.55073,1788000
2.5509,1789000
2.55098,1790000
2.55107,1791000
2.55115,1792000
2.55124,1793000
2.55132,1794000
2.5514,1795000
2.55149,1796000
2.55157,1797000
2.55166,1798000
2.55174,1799000
2.55183,1800000
2.55191,1801000
2.57291,1802000
2.57308,1803000
2.57316,1804000
2.57324,1805000
2.57333,1806000
2.57341,1807000
2.5735,1808000
2.57358,1809000
2.57367,1810000
2.57375,1811000
2.57383,1812000
2.57392,1813000
2.574,1814000
2.57409,1815000
2.57417,1816000
2.57434,1817000
2.57451,1818000
2.57459,1819000
2.57476,1820000
2.57493,1821000
2.57501,1822000
2.5751,1823000
2.57518,1824000
2.57527,1825000
2.57535,1826000
2.57544,1827000
2.57552,1828000
2.5756,1829000
2.57569,1830000
2.57577,1831000
2.57586,1832000
2.57594,1833000
2.59744,1834000
2.59761,1835000
2.59778,1836000
2.59787,1837000
