0.100007, 77848
0.200094, 178840
0.300291, 193568
0.404639, 185152
0.50479, 211452
0.604857, 253532
0.705008, 311392
0.805159, 385032
0.90531, 476556
1.00534, 587016
1.10536, 712204
1.2054, 858432
1.3054, 993088
1.40541, 1128796
1.50541, 1264504
1.60541, 1399160
1.70542, 1542232
1.80542, 1652692
1.90542, 1808388
2.00543, 1930420
2.10543, 2057712
2.20543, 2188160
2.30551, 2226032
2.40553, 2249176
2.50558, 2280736
2.60558, 2322816
2.70559, 2376468
2.80559, 2428016
2.90559, 2486928
3.0056, 2554256
3.1056, 2630000
3.2056, 2689964
3.30561, 2755188
3.40561, 2831984
3.50562, 2926664
3.60562, 3063424
3.70562, 3217016
3.80563, 3373764
3.90563, 3512628
4.00563, 3664116
4.10564, 3811396
4.20564, 3973404
4.30564, 4100696
4.40565, 4260600
4.50565, 4415244
4.60565, 4555160
4.70573, 4603552
4.80577, 4622488
4.90581, 4657204
5.00582, 4697180
5.10582, 4737156
5.20582, 4798172
5.30583, 4853928
5.40583, 4902320
5.50583, 4973856
5.60584, 5031716
5.70584, 5094836
5.80584, 5185308
5.90585, 5245272
6.00588, 5252636
6.10592, 5271572
6.20592, 5299976
6.30592, 5337848
6.40593, 5374668
6.50593, 5420956
6.60594, 5473556
6.70594, 5534572
6.80594, 5586120
6.90595, 5661864
7.00595, 5721828
7.10595, 5786000
7.20596, 5804936
7.30596, 5813352
7.40596, 5824924
7.50597, 5843860
7.60597, 5863848
7.70597, 5895408
7.80598, 5921708
7.90598, 5954320
8.00598, 5992192
8.10599, 6045844
8.20599, 6108964
8.306, 6161564
8.406, 6238360
8.506, 6301480
8.60601, 6367756
8.70601, 6439292
8.80605, 6517140
8.90609, 6531868
9.0061, 6561324
9.1061, 6597092
9.2061, 6632860
9.30611, 6677044
9.40611, 6728592
9.50611, 6787504
9.60612, 6854832
9.70612, 6911640
9.80612, 6969500
9.90613, 7045244
