Time,Throughput
0.100007,82056
0.200094,187256
0.300291,199880
0.404639,198828
0.50479,231440
0.604857,277728
0.705008,339796
0.805159,419748
0.90531,517584
1.00534,632252
1.10536,765856
1.2054,916292
1.3054,1055156
1.40541,1206644
1.50541,1337092
1.60541,1475956
1.70542,1621132
1.80542,1774724
1.90542,1895704
2.00543,2021944
2.10543,2170276
2.20543,2310192
2.30551,2342804
2.40553,2365948
2.50558,2404872
2.60558,2449056
2.70559,2505864
2.80559,2558464
2.90559,2619480
3.0056,2688912
3.1056,2746772
3.2056,2828828
3.30561,2895104
3.40561,2966640
3.50562,3040280
3.60562,3052904
3.70562,3073944
3.80563,3105504
3.90563,3139168
4.00563,3179144
4.10564,3227536
4.20564,3266460
4.30564,3327476
4.40565,3379024
4.50565,3435832
4.60565,3493692
4.70573,3525252
4.80577,3546292
4.90581,3575748
5.00582,3615724
5.10582,3666220
5.20582,3716716
5.30583,3773524
5.40583,3838748
5.50583,3892400
5.60584,3970248
5.70584,4034420
5.80584,4103852
5.90585,4176440
6.00588,4337396
6.10592,4513080
6.20592,4675088
6.30592,4848668
6.40593,4997000
6.50593,5152696
6.60594,5316808
6.70594,5458828
6.80594,5623992
6.90595,5763908
7.00595,5905928
7.10595,6056364
7.20596,6257296
7.30596,6512932
7.40596,6715968
7.50597,6919004
7.60597,7154652
7.70597,7337700
7.80598,7523904
7.90598,7731148
8.00598,7909988
8.10599,7919456
8.20599,7931028
8.306,7952068
8.406,7972056
8.506,8005720
8.60601,8034124
8.70601,8067788
8.80605,8119336
8.90609,8210860
9.0061,8302384
9.1061,8403376
9.2061,8516992
9.30611,8617984
9.40611,8727392
9.50611,8843112
9.60612,8934636
9.70612,9065084
9.80612,9168180
9.90613,9276536
