Time,Wnd
2.20529,4380
2.3335,5840
2.41092,7300
2.42097,8760
2.57561,10220
2.62429,11680
2.63374,13140
2.64374,14600
2.67585,16060
2.72605,17520
2.81675,18980
2.82768,20440
2.82929,21900
2.83787,23360
2.84609,24820
2.84817,26280
2.8661,27740
2.88014,29200
2.88141,30660
2.89206,32120
2.90202,33580
2.92855,35040
2.93963,36500
2.94085,37960
2.94785,39420
2.95111,40880
2.98191,42340
3.03404,43800
3.03527,45260
3.04139,46720
3.04262,48180
3.04433,49640
3.05294,51100
3.05417,52560
3.05576,54020
3.07836,55480
3.0837,56940
3.08737,58400
3.08856,59860
3.09585,61320
3.09708,62780
3.10687,64240
3.11853,65700
3.12858,67160
3.13267,68620
3.13467,70080
3.1359,71540
3.14315,73000
3.14956,74460
3.1526,75920
3.15383,77380
3.15562,78840
3.15686,80300
3.15846,81760
3.16174,83220
3.17055,84680
3.18012,86140
3.18866,87600
3.18997,89060
3.19158,90520
3.19761,91980
3.20866,93440
3.24494,94900
3.24621,96360
3.24781,97820
3.25112,99280
3.25231,100740
3.25405,102200
3.25527,103660
3.25816,105120
3.26324,106580
3.26448,108040
3.26631,109500
3.26954,110960
3.27277,112420
3.27404,113880
3.27565,115340
3.27881,116800
3.28008,118260
3.28294,119720
3.28771,121180
3.2889,122640
3.29064,124100
3.29187,125560
3.30004,127020
3.30126,128480
3.3029,129940
3.31042,131400
3.31205,132860
3.32039,134320
3.32158,135780
3.33237,137240
3.3336,138700
3.33714,140160
3.33834,141620
3.34027,143080
3.34151,144540
3.34354,146000
3.34477,147460
3.34642,148920
3.34764,150380
3.34932,151840
3.35255,153300
3.35578,154760
3.35709,156220
3.3587,157680
3.36319,159140
3.36845,160600
3.36964,162060
3.37466,163520
3.37593,164980
3.37716,166440
3.38189,167900
3.38672,169360
3.38795,170820
3.38974,172280
3.39101,173740
3.39268,175200
3.39588,176660
3.39915,178120
3.40038,179580
3.4065,181040
3.41163,182500
3.41286,183960
3.42546,185420
3.42743,186880
3.42871,188340
3.43033,189800
3.43157,191260
3.43324,192720
3.44273,194180
3.44592,195640
3.45042,197100
3.45205,198560
3.45649,200020
3.46176,201480
3.46817,202940
3.47447,204400
3.4853,205860
3.48631,102104
3.48654,101966
3.48664,101916
3.48803,101186
3.48926,100456
3.49065,99650
3.49192,98920
3.49356,98941
3.49734,96570
3.49872,95840
3.50003,95111
3.50164,95133
3.50486,95155
3.50609,95177
3.50784,95199
3.50907,95221
3.51066,95243
3.51387,95265
3.5151,95287
3.51683,95309
3.51806,95331
3.51982,95353
3.52279,82287
3.52299,82104
3.52316,82010
3.5234,81931
3.52482,81202
3.52605,80472
3.53195,80498
3.53686,74389
3.53698,74255
3.538,73714
3.53824,73532
3.53833,73481
3.53958,72853
3.53971,72715
3.54117,71951
3.54202,71418
3.54269,71005
3.54402,71035
3.54722,68572
3.54965,67842
3.55016,67502
3.55147,66772
3.5525,66153
3.55264,66015
3.55461,66047
3.55589,64338
3.55749,64371
3.55872,64404
3.56165,64437
3.56636,58326
3.56646,58209
3.56656,58161
3.5682,58197
3.56843,57184
3.56984,57221
3.57111,57258
3.57278,57295
3.57409,57332
3.5757,57369
3.57871,57406
3.57997,51285
3.58007,51274
3.58134,50565
3.58215,50018
3.58322,49488
3.58339,49394
3.58473,48685
3.58525,48327
3.58592,47962
3.58654,47604
3.58699,47333
3.58836,46604
3.58959,45874
3.59133,45920
3.59255,45966
3.59429,46012
3.59552,46058
3.59718,46104
3.59845,40795
3.60308,40847
3.60431,40899
3.60517,36890
3.60542,36708
3.60552,36657
3.60562,36648
3.60691,35939
3.60776,35406
3.60852,34994
3.60981,35054
3.61275,32600
3.61398,31870
3.61575,31936
3.61698,32002
3.61846,29975
3.62102,28529
3.6227,28603
3.62597,28677
3.62719,28751
3.62888,28825
3.6301,28898
3.633,28971
3.63583,29044
3.63871,29117
3.64035,29190
3.64617,29263
3.65516,29335
3.66841,29407
3.67027,29479
3.68198,29551
3.6851,29623
3.69066,29694
3.72054,29765
3.72287,29836
3.74903,29907
3.7503,29978
3.75214,30049
3.75361,30119
3.75522,30189
3.75645,30259
3.75768,30329
3.75895,30399
3.77025,30469
3.77212,30538
3.78382,30607
3.78695,30676
3.78817,30745
3.78945,30814
3.79251,30883
3.79374,30952
3.80924,31020
3.82238,31088
3.82361,31156
3.82484,31224
3.85087,31292
3.85214,31360
3.85399,31427
3.85552,31494
3.85706,31561
3.85829,31628
3.85952,31695
3.86079,31762
3.87209,31829
3.87396,31895
3.88396,31961
3.88879,32027
3.89002,32093
3.89129,32159
3.89435,32225
3.89558,32291
3.89681,32357
3.91108,32422
3.92423,32487
3.92546,32552
3.92669,32617
3.93668,32682
3.94669,32747
3.95583,32812
3.95736,32876
3.95891,32940
3.9602,33004
3.96136,33068
3.96264,33132
3.97394,33196
3.9758,33260
3.9858,33324
3.99063,33387
3.99186,33450
3.99314,33513
3.99619,33576
3.99742,33639
3.99865,33702
4.00875,33765
4.01293,33828
4.0257,33891
4.0273,33953
4.02853,34015
4.03853,34077
4.04853,34139
4.05767,34201
4.05921,34263
4.06075,34325
4.06206,34387
4.06335,34448
4.06452,34509
4.07578,34570
4.07765,34631
4.08775,34692
4.09248,34753
4.09371,34814
4.09498,34875
4.09804,34936
4.09927,34997
4.1005,35057
4.1106,35117
4.11477,35177
4.12477,35237
