Time,Throughput
0.100007,82056
0.200094,178840
0.300291,193568
0.404639,185152
0.50479,211452
0.604857,253532
0.705008,311392
0.805159,385032
0.90531,476556
1.00534,587016
1.10536,712204
1.2054,858432
1.3054,993088
1.40541,1138264
1.50541,1264504
1.60541,1399160
1.70542,1542232
1.80542,1660056
1.90542,1808388
2.00543,1930420
2.10543,2057712
2.20543,2190264
2.30551,2465888
2.40553,2759396
2.50558,3058164
2.60558,3342204
2.70559,3574696
2.80559,3844008
2.90559,4092280
3.0056,4306888
3.1056,4567784
3.2056,4766612
3.30561,5022248
3.40561,5250532
3.50562,5466192
3.60562,5909084
3.70562,6294116
3.80563,6625496
3.90563,7016840
4.00563,7351376
4.10564,7665924
4.20564,7952068
4.30564,8295020
4.40565,8580112
4.50565,8857840
4.60565,9138724
4.70573,9333344
4.80577,9354384
4.90581,9383840
5.00582,9423816
5.10582,9474312
5.20582,9524808
5.30583,9581616
5.40583,9638424
5.50583,9700492
5.60584,9758352
5.70584,9842512
5.80584,9911944
5.90585,9984532
6.00588,10145488
6.10592,10293820
6.20592,10481076
6.30592,10622044
6.40593,10805092
6.50593,10960788
6.60594,11122796
6.70594,11253244
6.80594,11432084
6.90595,11572000
7.00595,11714020
7.10595,11861300
7.20596,12065388
7.30596,12277892
7.40596,12498812
7.50597,12727096
7.60597,12918560
7.70597,13145792
7.80598,13331996
7.90598,13523460
8.00598,13734912
8.10599,13988444
8.20599,14263016
8.306,14547056
8.406,14764820
8.506,15009936
8.60601,15291872
8.70601,15525416
8.80605,15821028
8.90609,16312312
9.0061,16757308
9.1061,17192836
9.2061,17606272
9.30611,18010240
9.40611,18385804
9.50611,18719288
9.60612,19061188
9.70612,19382048
9.80612,19762872
9.90613,20069004
